order_item_id,order_id,r_id,f_id,price,quantity,line_amount
76,35,477530,fd485834,32,1,32
77,35,477530,fd615808,81,1,81
78,36,254364,fd2694,139,2,278
79,36,254364,fd926808,151,1,151
80,37,433669,fd97307,68,1,68
81,37,433669,fd6453,99,1,99
82,38,483755,fd20237,94,1,94
83,38,483755,fd657529,208,1,208
84,39,55633,fd750595,189,1,189
85,39,55633,fd365965,104,1,104
86,39,55633,fd54020,67,1,67
87,40,572677,fd300976,156,1,156
88,40,572677,fd232995,112,1,112
89,41,261729,fd505038,76,1,76
90,41,261729,fd840756,85,1,85
91,42,238769,fd548242,320,1,320
92,42,238769,fd548250,200,3,600
93,43,404680,fd523826,202,1,202
94,43,404680,fd315252,112,1,112
95,44,94193,fd215676,81,1,81
96,44,94193,fd917781,114,2,228
97,44,94193,fd357295,196,1,196
98,45,43727,fd140333,132,1,132
99,45,43727,fd664282,156,1,156
100,46,204348,fd794575,329,1,329
101,46,204348,fd666741,245,2,490
102,47,146481,fd880766,79,1,79
103,47,146481,fd15135,168,3,504
104,47,146481,fd15135,168,3,504
105,47,146481,fd880766,79,1,79
106,48,487445,fd3848,120,2,240
107,49,244228,fd1010573,50,1,50
108,50,395577,fd478786,40,2,80
109,50,395577,fd74059,46,1,46
110,51,243736,fd734855,164,1,164
111,51,243736,fd895094,214,1,214
112,51,243736,fd636055,129,1,129
113,51,243736,fd14026,210,1,210
114,51,243736,fd925025,155,1,155
115,52,381270,fd589084,113,1,113
116,52,381270,fd510807,128,1,128
117,52,381270,fd114256,175,2,350
118,53,370341,fd1002446,86,1,86
119,53,370341,fd1002446,86,2,172
120,54,468270,fd379972,105,1,105
121,54,468270,fd247952,167,2,334
122,54,468270,fd55538,129,2,258
123,55,495655,fd83471,73,1,73
124,56,466318,fd542409,144,1,144
125,57,288399,fd650032,311,1,311
126,57,288399,fd450400,302,1,302
127,58,259205,fd364676,195,2,390
128,58,259205,fd270507,123,2,246
129,58,259205,fd51179,223,2,446
130,58,259205,fd604485,265,1,265
131,58,259205,fd787144,161,1,161
132,59,54977,fd755844,200,1,200
133,59,54977,fd755844,200,1,200
134,60,446568,fd803446,25,1,25
135,60,446568,fd803451,381,2,763
136,61,382780,fd91228,209,1,209
137,61,382780,fd288805,110,1,110
138,62,441738,fd1026588,295,2,590
139,62,441738,fd435233,326,1,326
140,63,15713,fd90025,171,1,171
141,64,124209,fd647484,114,1,114
142,65,58022,fd611932,244,2,488
143,66,576899,fd202551,85,2,170
144,66,576899,fd202551,85,2,170
145,67,111411,fd942950,77,1,77
146,67,111411,fd489018,61,1,61
147,67,111411,fd264182,76,1,76
148,68,333843,fd43665,120,2,240
149,68,333843,fd43665,120,3,360
150,69,484971,fd518209,116,1,116
151,69,484971,fd312866,153,1,153
152,70,377523,fd1229,25,1,26
153,70,377523,fd748277,42,1,43
154,71,243441,fd15241,450,1,450
155,71,243441,fd36213,210,1,210
156,72,548823,fd348396,119,1,119
157,73,16374,fd37379,133,1,133
158,73,16374,fd886952,135,1,135
159,73,16374,fd487391,67,1,67
160,74,429425,fd328982,162,1,162
161,74,429425,fd354258,57,1,57
162,75,352907,fd58851,217,2,434
163,76,72165,fd419075,157,2,314
164,77,465861,fd950310,69,1,69
165,78,148216,fd222665,165,1,165
166,79,182734,fd464103,72,1,72
167,80,566203,fd868106,97,1,97
168,80,566203,fd276896,100,1,100
169,81,335177,fd122397,50,1,50
170,82,513194,fd415359,147,1,147
171,83,379393,fd439428,233,1,233
172,83,379393,fd264080,240,1,240
173,83,379393,fd629511,213,1,213
174,84,461882,fd1012018,169,2,338
175,84,461882,fd846198,227,1,227
176,84,461882,fd112358,146,1,146
177,84,461882,fd842026,188,1,188
178,85,208628,fd15899,75,1,75
179,86,452971,fd192961,69,1,69
180,87,142005,fd710216,168,1,168
181,88,156122,fd153814,285,2,570
182,89,65168,fd513827,216,1,216
183,89,65168,fd199595,244,1,244
184,89,65168,fd341292,221,1,221
185,89,65168,fd765135,181,2,362
186,90,376052,fd13632,71,2,142
187,91,143980,fd791470,165,2,330
188,91,143980,fd1023311,138,1,138
189,91,143980,fd78025,173,1,173
190,92,548453,fd277093,106,1,106
191,92,548453,fd223678,65,1,65
192,93,173117,fd72377,155,1,155
193,93,173117,fd886585,53,1,53
194,93,173117,fd7258,136,1,136
195,94,35053,fd514226,77,1,77
196,94,35053,fd8138,28,1,28
197,94,35053,fd568191,51,2,102
198,95,96043,fd497781,313,1,313
199,96,442035,fd905591,86,2,172
200,96,442035,fd905591,86,2,172
201,96,442035,fd103166,75,1,75
202,97,245136,fd181996,74,1,74
203,98,451455,fd17885,166,2,332
204,98,451455,fd214059,89,2,178
205,98,451455,fd71913,162,2,324
206,98,451455,fd680091,221,2,442
207,99,383712,fd636913,95,1,95
208,99,383712,fd636913,95,1,95
209,100,473204,fd169422,25,2,50
210,101,24417,fd221934,267,1,267
211,102,28981,fd326672,95,1,95
212,102,28981,fd326623,330,1,330
213,103,567953,fd902149,239,1,239
214,103,567953,fd153209,237,1,237
215,104,16511,fd343390,54,1,54
216,104,16511,fd562473,96,1,96
217,104,16511,fd1042948,79,1,79
218,105,436125,fd874391,145,1,145
219,106,1125,fd935498,295,1,295
220,106,1125,fd234236,164,1,164
221,107,40359,fd145727,151,2,302
222,107,40359,fd145727,151,1,151
223,107,40359,fd431781,100,1,100
224,108,128810,fd900376,146,1,146
225,108,128810,fd877609,145,1,145
226,108,128810,fd103344,137,2,274
227,109,145671,fd17729,76,2,152
228,109,145671,fd991424,54,2,108
229,110,529310,fd153403,233,1,233
230,111,509897,fd1032720,74,2,148
231,112,27481,fd770528,134,3,402
232,112,27481,fd422707,160,2,320
233,112,27481,fd560250,109,2,218
234,112,27481,fd320597,135,1,135
235,113,24670,fd166053,293,1,293
236,114,346200,fd862726,279,1,279
237,114,346200,fd961265,251,1,251
238,114,346200,fd862726,279,2,558
239,115,262078,fd1005421,78,3,234
240,116,470595,fd514953,160,1,160
241,116,470595,fd514944,260,1,260
242,116,470595,fd514953,160,1,160
243,117,337775,fd249302,56,1,56
244,117,337775,fd2020,144,1,144
245,117,337775,fd602043,91,1,91
246,118,345639,fd657302,63,1,63
247,119,523084,fd774337,115,1,115
248,120,552002,fd755644,92,1,92
249,120,552002,fd62942,127,3,381
250,121,442044,fd774115,175,1,175
251,121,442044,fd653034,127,1,127
252,121,442044,fd653034,127,1,127
253,121,442044,fd858212,127,1,127
254,121,442044,fd1046421,177,1,177
255,122,509008,fd854735,253,2,506
256,122,509008,fd676293,270,1,270
257,122,509008,fd968195,293,2,586
258,123,327755,fd524929,158,2,316
259,124,39368,fd4227,255,3,765
260,125,118043,fd7327,140,1,140
261,125,118043,fd500176,57,1,57
262,125,118043,fd7327,140,2,280
263,126,384967,fd25000,99,1,99
264,127,65736,fd407077,178,1,178
265,128,232600,fd447518,168,1,168
266,128,232600,fd936202,121,1,121
267,128,232600,fd828392,70,1,70
268,128,232600,fd447518,168,1,168
269,129,32559,fd8498,75,1,75
270,129,32559,fd351827,115,1,115
271,129,32559,fd847745,95,1,95
272,129,32559,fd134128,125,2,250
273,130,313218,fd234736,387,1,387
274,130,313218,fd709301,388,1,388
275,130,313218,fd200113,341,1,341
276,131,80697,fd509962,100,1,100
277,131,80697,fd463577,76,1,76
278,131,80697,fd14470,66,2,132
279,132,41270,fd321654,185,1,185
280,132,41270,fd321654,185,1,185
281,132,41270,fd457097,137,1,137
282,132,41270,fd200763,108,1,108
283,133,337861,fd114533,641,3,1923
284,133,337861,fd155456,496,1,496
285,133,337861,fd667847,373,2,746
286,134,118644,fd827996,166,1,166
287,135,468991,fd115716,53,1,53
288,135,468991,fd683695,34,1,34
289,136,442281,fd922956,103,1,103
290,137,73807,fd705176,291,1,291
291,138,244287,fd615949,315,2,630
292,138,244287,fd615949,315,1,315
293,138,244287,fd73019,120,1,120
294,138,244287,fd451922,336,1,336
295,139,474162,fd149827,140,1,140
296,140,186452,fd19230,114,1,114
297,141,546299,fd791055,209,1,209
298,141,546299,fd791055,209,1,209
299,141,546299,fd548405,181,2,362
300,142,434794,fd860168,177,1,177
301,142,434794,fd881832,93,1,93
302,143,451978,fd21664,304,1,304
303,143,451978,fd989159,133,1,133
304,144,130357,fd222712,136,1,136
305,144,130357,fd516722,199,1,199
306,145,525182,fd816,50,1,50
307,146,89473,fd997519,130,2,260
308,147,479182,fd668707,97,1,97
309,147,479182,fd108621,171,3,513
310,147,479182,fd290918,175,2,350
311,148,493258,fd815973,25,1,25
312,148,493258,fd20929,230,1,230
313,149,336920,fd40063,159,1,159
314,150,337196,fd132102,173,1,173
315,150,337196,fd1038959,54,1,54
316,151,211873,fd578270,114,3,342
317,152,562948,fd685389,77,1,77
318,153,484793,fd441510,221,1,221
319,153,484793,fd441510,221,1,221
320,153,484793,fd701149,173,1,173
321,154,460783,fd419200,53,1,53
322,154,460783,fd872386,159,1,159
323,154,460783,fd872386,159,1,159
324,155,66473,fd963854,284,2,568
325,156,77093,fd908732,384,1,384
326,156,77093,fd168912,349,2,698
327,157,58637,fd34131,380,1,380
328,157,58637,fd225408,480,1,480
329,157,58637,fd47226,360,1,360
330,157,58637,fd38000,280,1,280
331,158,251656,fd653318,170,1,170
332,158,251656,fd728784,444,2,888
333,159,95922,fd501606,202,1,202
334,160,349811,fd421534,128,2,256
335,161,268871,fd987644,58,2,116
336,161,268871,fd165179,97,1,97
337,161,268871,fd597129,110,1,110
338,161,268871,fd104915,108,1,108
339,162,413481,fd294251,65,1,65
340,162,413481,fd695553,129,1,129
341,163,364940,fd719412,331,2,662
342,164,488201,fd421606,172,1,172
343,165,319462,fd5191,90,2,180
344,166,360391,fd40049,103,1,103
345,167,111879,fd1011216,66,1,66
346,167,111879,fd925951,111,1,111
347,168,547802,fd149521,164,1,164
348,168,547802,fd145726,79,1,79
349,168,547802,fd502691,152,1,152
350,169,380812,fd297183,201,2,402
351,170,510823,fd555848,336,1,336
352,170,510823,fd192307,175,1,175
353,170,510823,fd149668,181,3,543
354,170,510823,fd712936,396,1,396
355,171,14670,fd816687,163,1,163
356,172,150823,fd850539,99,1,99
357,172,150823,fd594387,111,1,111
358,172,150823,fd850539,99,3,297
359,172,150823,fd197797,106,3,318
360,173,518304,fd359011,112,2,224
361,174,415123,fd763447,58,1,58
362,175,486588,fd162162,257,1,257
363,175,486588,fd876685,118,2,236
364,176,305451,fd633111,129,1,129
365,176,305451,fd339861,57,1,57
366,176,305451,fd668781,54,1,54
367,176,305451,fd339861,57,1,57
368,177,329229,fd98454,40,2,80
369,177,329229,fd6763,160,1,160
370,177,329229,fd3986,160,1,160
371,178,123411,fd857352,102,1,102
372,178,123411,fd815628,188,1,188
373,179,317680,fd134960,219,1,219
374,179,317680,fd134960,219,1,219
375,180,253701,fd829968,176,1,176
376,180,253701,fd829968,176,2,352
377,181,357912,fd915641,163,1,163
378,181,357912,fd157798,181,1,181
379,182,193476,fd23127,230,1,230
380,182,193476,fd1047324,227,1,227
381,182,193476,fd706311,93,1,93
382,183,559370,fd533808,56,1,56
383,183,559370,fd763392,100,1,100
384,183,559370,fd533808,56,1,56
385,183,559370,fd522321,111,1,111
386,184,302079,fd84116,60,2,120
387,184,302079,fd5715,180,1,180
388,185,432505,fd799613,163,1,163
389,185,432505,fd126872,96,1,96
390,186,409321,fd118851,89,1,89
391,186,409321,fd118851,89,1,89
392,187,16655,fd844175,367,1,367
393,188,364881,fd745377,69,1,69
394,188,364881,fd217185,50,1,50
395,188,364881,fd701076,34,1,34
396,188,364881,fd93418,71,1,71
397,189,231990,fd259127,147,1,147
398,190,23081,fd602697,910,1,910
399,190,23081,fd293775,947,3,2841
400,190,23081,fd720934,470,1,470
401,190,23081,fd958321,470,1,470
402,191,34714,fd193396,253,1,253
403,192,414550,fd31024,250,1,250
404,193,371601,fd155202,276,3,828
405,193,371601,fd299865,339,1,339
406,193,371601,fd806353,197,1,197
407,194,196725,fd885325,444,2,888
408,195,387015,fd516432,267,1,267
409,195,387015,fd608783,136,1,136
410,195,387015,fd886405,222,1,222
411,195,387015,fd31487,129,1,129
412,195,387015,fd270601,159,3,477
413,195,387015,fd516432,267,2,534
414,196,62320,fd661975,254,1,254
415,196,62320,fd153544,214,1,214
416,197,60585,fd97743,61,2,122
417,197,60585,fd814919,129,1,129
418,198,375775,fd611984,257,1,257
419,198,375775,fd547344,163,1,163
420,199,442642,fd98743,147,1,147
421,200,435962,fd240364,428,1,428
422,201,323659,fd707434,108,1,108
423,201,323659,fd480659,227,1,227
424,201,323659,fd750962,161,3,483
425,202,244113,fd1447,45,3,135
426,202,244113,fd471466,135,2,270
427,202,244113,fd471457,195,1,195
428,202,244113,fd471447,215,1,215
429,203,573203,fd57000,168,1,168
430,203,573203,fd911623,134,2,268
431,203,573203,fd714834,117,2,234
432,204,291861,fd127981,156,1,156
433,205,206764,fd222364,224,1,224
434,205,206764,fd394534,158,1,158
435,205,206764,fd456268,87,1,87
436,205,206764,fd222364,224,1,224
437,205,206764,fd394534,158,1,158
438,206,503759,fd490537,278,1,278
439,206,503759,fd158643,91,1,91
440,207,423685,fd46137,52,1,52
441,207,423685,fd826018,168,1,168
442,208,21130,fd12029,53,2,106
443,208,21130,fd268109,27,2,54
444,209,371935,fd410911,116,1,116
445,209,371935,fd316538,245,1,245
446,210,521740,fd355088,158,1,158
447,210,521740,fd372007,290,2,580
448,210,521740,fd372007,290,1,290
449,211,220196,fd268736,63,1,63
450,212,336063,fd78713,158,1,158
451,213,48663,fd1018619,261,1,261
452,214,256254,fd332862,310,1,310
453,214,256254,fd783771,235,1,235
454,215,119758,fd162451,167,1,167
455,215,119758,fd162451,167,1,167
456,215,119758,fd442326,193,1,193
457,215,119758,fd218943,121,2,242
458,215,119758,fd63285,173,1,173
459,216,351480,fd897206,78,1,78
460,217,349011,fd384552,230,1,230
461,218,369448,fd548085,105,3,315
462,218,369448,fd314,201,1,201
463,219,119517,fd344605,196,1,196
464,220,22839,fd746908,135,1,135
465,220,22839,fd840221,356,1,356
466,221,136621,fd17639,75,1,75
467,221,136621,fd20764,36,1,36
468,222,490158,fd264596,101,1,101
469,222,490158,fd752389,162,1,162
470,222,490158,fd752389,162,1,162
471,222,490158,fd583617,79,1,79
472,223,67796,fd177100,541,1,541
473,224,106200,fd47583,127,1,127
474,224,106200,fd425199,251,1,251
475,225,525401,fd455368,190,1,190
476,225,525401,fd264219,118,1,118
477,225,525401,fd28765,244,1,244
478,225,525401,fd893791,148,1,148
479,226,477526,fd255978,20,1,20
480,226,477526,fd735609,20,1,20
481,226,477526,fd255978,20,1,20
482,227,56349,fd79161,40,2,80
483,227,56349,fd658746,31,1,31
484,228,568190,fd166065,79,1,79
485,228,568190,fd82219,100,3,300
486,229,227561,fd138451,207,1,207
487,229,227561,fd176080,136,1,136
488,230,540887,fd331761,110,1,110
489,230,540887,fd211836,110,1,110
490,230,540887,fd163011,100,1,100
491,231,361091,fd79140,1219,3,3657
492,231,361091,fd79173,989,1,989
493,232,572810,fd974849,102,1,102
494,232,572810,fd906074,97,1,97
495,232,572810,fd180279,209,1,209
496,233,202654,fd555267,110,1,110
497,233,202654,fd644309,139,1,139
498,234,559786,fd68474,50,1,50
499,234,559786,fd68476,60,1,60
500,234,559786,fd91528,60,1,60
501,235,141984,fd469009,204,1,204
502,235,141984,fd587307,143,2,286
503,236,515774,fd958315,41,2,82
504,236,515774,fd318685,55,1,55
505,237,373352,fd138937,189,1,189
506,237,373352,fd182364,168,1,168
507,238,502122,fd171313,71,1,71
508,238,502122,fd408896,162,1,162
509,238,502122,fd408896,162,1,162
510,238,502122,fd747232,144,1,144
511,239,162587,fd288124,215,1,215
512,239,162587,fd1041491,126,1,126
513,239,162587,fd324093,83,1,83
514,240,68851,fd840738,144,1,144
515,241,251644,fd531907,69,2,138
516,241,251644,fd254136,67,1,67
517,241,251644,fd70142,85,1,85
518,242,522552,fd669588,504,1,504
519,242,522552,fd1379,200,1,200
520,243,23890,fd917536,218,1,218
521,243,23890,fd357264,190,1,190
522,244,425659,fd20690,208,1,208
523,245,217040,fd545348,109,3,327
524,245,217040,fd201850,258,1,258
525,245,217040,fd108630,150,1,150
526,245,217040,fd545348,109,1,109
527,245,217040,fd287567,202,1,202
528,246,562278,fd480701,136,1,136
529,247,51753,fd481147,358,1,358
530,247,51753,fd236214,438,1,438
531,248,51525,fd654864,156,1,156
532,248,51525,fd776627,115,3,345
533,248,51525,fd851974,167,1,167
534,249,376549,fd226615,177,1,177
535,249,376549,fd226615,177,1,177
536,249,376549,fd663598,71,1,71
537,250,114019,fd2731,110,1,110
538,250,114019,fd513495,125,1,125
539,251,168630,fd863022,175,1,175
540,251,168630,fd94397,161,1,161
541,252,375081,fd807485,246,2,492
542,252,375081,fd924582,268,2,536
543,253,293166,fd793348,149,1,149
544,253,293166,fd805792,144,1,144
545,253,293166,fd793348,149,1,149
546,254,519204,fd74073,650,1,650
547,255,399601,fd77790,81,1,81
548,255,399601,fd250040,192,1,192
549,256,498292,fd880523,209,1,209
550,256,498292,fd880569,343,2,686
551,256,498292,fd880515,183,1,183
552,256,498292,fd880520,193,1,193
553,257,425775,fd144001,144,1,144
554,258,359829,fd461381,106,3,318
555,258,359829,fd810162,183,1,183
556,258,359829,fd391993,347,1,347
557,259,370018,fd619319,92,1,92
558,259,370018,fd525910,144,2,288
559,260,375782,fd561242,98,2,196
560,261,219918,fd466521,115,1,115
561,261,219918,fd1017215,82,2,164
562,261,219918,fd974162,67,1,67
563,262,561485,fd461802,123,1,123
564,262,561485,fd955436,109,1,109
565,263,523802,fd300819,70,1,70
566,263,523802,fd300819,70,1,70
567,264,389305,fd146921,211,3,633
568,264,389305,fd116657,279,1,279
569,264,389305,fd533921,272,1,272
570,265,105037,fd73945,149,1,149
571,265,105037,fd955419,111,2,222
572,266,571280,fd346537,250,1,250
573,266,571280,fd898348,131,1,131
574,266,571280,fd381549,99,1,99
575,267,278909,fd1423,219,1,219
576,267,278909,fd19460,239,1,239
577,268,361625,fd416950,194,1,194
578,269,461687,fd654820,94,1,94
579,269,461687,fd675415,122,1,122
580,270,30577,fd962147,76,1,76
581,271,448056,fd718912,132,2,264
582,272,300202,fd177509,248,1,248
583,272,300202,fd95667,282,2,564
584,273,400758,fd97332,101,1,101
585,273,400758,fd156823,64,1,64
586,273,400758,fd245962,105,1,105
587,273,400758,fd245962,105,1,105
588,274,193441,fd7257,150,1,150
589,275,413939,fd958430,85,1,85
590,275,413939,fd570613,170,1,170
591,275,413939,fd51277,94,1,94
592,276,458995,fd172607,230,1,230
593,276,458995,fd240064,92,1,92
594,276,458995,fd101550,169,1,169
595,277,132105,fd783283,55,1,55
596,277,132105,fd32806,95,1,95
597,277,132105,fd384602,93,1,93
598,278,35897,fd411391,303,1,303
599,278,35897,fd845216,171,1,171
600,278,35897,fd787124,404,3,1212
601,278,35897,fd411391,303,2,606
602,278,35897,fd852878,393,1,393
603,279,328038,fd499251,194,1,194
604,279,328038,fd928396,308,1,308
605,280,548180,fd410159,219,1,219
606,280,548180,fd830302,100,1,100
607,280,548180,fd583928,152,1,152
608,280,548180,fd297003,82,1,82
609,280,548180,fd410159,219,1,219
610,281,551155,fd67181,54,1,54
611,281,551155,fd721040,47,1,47
612,282,480820,fd855432,119,1,119
613,282,480820,fd855432,119,1,119
614,282,480820,fd15161,197,1,197
615,282,480820,fd15161,197,1,197
616,283,126281,fd792154,193,3,579
617,283,126281,fd697048,218,2,436
618,283,126281,fd796792,239,1,239
619,284,516218,fd606694,88,2,176
620,285,558056,fd73601,126,1,126
621,285,558056,fd856276,119,1,119
622,285,558056,fd191284,164,1,164
623,286,134529,fd168,280,1,280
624,287,504354,fd1641,102,3,306
625,288,147963,fd497825,165,3,495
626,289,450740,fd647714,194,1,194
627,290,555732,fd175776,124,2,248
628,290,555732,fd158610,150,1,150
629,290,555732,fd158610,150,1,150
630,291,395841,fd1013129,218,1,218
631,291,395841,fd538888,161,1,161
632,291,395841,fd925517,165,1,165
633,292,397911,fd312873,209,1,209
634,292,397911,fd55007,174,2,348
635,293,539722,fd273753,90,2,180
636,294,249204,fd750557,134,1,134
637,295,510464,fd661090,156,1,156
638,295,510464,fd661090,156,1,156
639,296,386603,fd754802,190,1,190
640,296,386603,fd359514,136,1,136
641,297,62462,fd142282,107,1,107
642,298,452597,fd403369,148,2,296
643,299,416408,fd330877,384,1,384
644,299,416408,fd677101,314,1,314
645,299,416408,fd624963,252,1,252
646,300,505979,fd155895,147,1,147
647,301,577359,fd465026,253,1,253
648,302,573927,fd203573,225,1,225
649,302,573927,fd203573,225,2,450
650,303,73349,fd190456,220,1,220
651,303,73349,fd496300,158,1,158
652,303,73349,fd521357,211,1,211
653,303,73349,fd74460,154,1,154
654,304,454048,fd334409,109,1,109
655,304,454048,fd134811,97,1,97
656,305,108484,fd867245,116,1,116
657,306,458693,fd669507,297,1,297
658,306,458693,fd16980,188,2,376
659,307,17173,fd383774,70,1,70
660,307,17173,fd245550,106,2,212
661,308,442294,fd207017,113,1,113
662,308,442294,fd640850,165,1,165
663,308,442294,fd512644,260,1,260
664,309,475317,fd1023956,236,3,708
665,309,475317,fd358971,238,1,238
666,310,208618,fd887074,66,2,132
667,310,208618,fd196066,186,1,186
668,311,276843,fd48527,77,1,77
669,311,276843,fd996654,80,1,80
670,311,276843,fd996654,80,1,80
671,311,276843,fd33324,118,1,118
672,311,276843,fd749283,81,1,81
673,311,276843,fd7995,117,1,117
674,312,528416,fd207873,60,1,60
675,313,558280,fd153280,121,1,121
676,313,558280,fd93434,108,1,108
677,313,558280,fd264944,157,2,314
678,314,456639,fd455296,105,1,105
679,314,456639,fd455307,468,2,936
680,315,84456,fd273019,201,1,201
681,315,84456,fd333930,133,2,266
682,315,84456,fd928635,120,1,120
683,316,407292,fd907785,218,1,218
684,317,102492,fd874288,131,1,131
685,317,102492,fd874288,131,1,131
686,317,102492,fd979498,84,1,84
687,318,18455,fd341338,255,1,255
688,318,18455,fd679536,149,2,298
689,319,76050,fd118515,52,1,52
690,320,335059,fd997241,48,2,96
691,321,418529,fd129601,260,1,260
692,321,418529,fd129595,230,1,230
693,322,546460,fd768347,51,1,51
694,322,546460,fd116550,166,3,498
695,323,11395,fd192883,378,1,378
696,324,486672,fd278093,191,1,191
697,324,486672,fd278093,191,2,382
698,325,477901,fd65917,221,1,221
699,325,477901,fd670141,112,1,112
700,325,477901,fd915009,145,1,145
701,325,477901,fd47225,171,1,171
702,325,477901,fd65917,221,3,663
703,325,477901,fd515408,263,1,263
704,326,220972,fd92019,135,3,405
705,326,220972,fd704166,93,2,186
706,327,5882,fd756262,639,1,639
707,328,558598,fd661797,97,1,97
708,328,558598,fd639670,56,3,168
709,328,558598,fd639670,56,1,56
710,328,558598,fd920341,80,1,80
711,329,484179,fd38739,310,1,310
712,329,484179,fd2460,270,1,270
713,329,484179,fd16500,240,1,240
714,330,102166,fd928362,164,1,164
715,330,102166,fd928362,164,1,164
716,330,102166,fd928362,164,1,164
717,331,109451,fd105580,191,1,191
718,331,109451,fd498192,197,1,197
719,331,109451,fd16162,76,1,76
720,331,109451,fd104387,83,1,83
721,332,136594,fd726162,69,1,69
722,332,136594,fd177221,102,1,102
723,333,455954,fd795,250,1,250
724,334,272267,fd307980,153,1,153
725,334,272267,fd307980,153,1,153
726,335,42565,fd743747,55,2,110
727,335,42565,fd30543,65,1,65
728,336,71403,fd54124,118,1,118
729,336,71403,fd112170,219,1,219
730,336,71403,fd1043763,212,1,212
731,337,357851,fd2086,180,1,180
732,337,357851,fd4365,65,1,65
733,338,375233,fd126686,139,1,139
734,338,375233,fd801847,244,1,244
735,339,538395,fd712924,108,1,108
736,339,538395,fd1045476,82,1,82
737,339,538395,fd366678,50,1,50
738,340,49041,fd597943,187,1,187
739,341,217806,fd947024,130,1,130
740,341,217806,fd284464,75,1,75
741,341,217806,fd947028,105,1,105
742,341,217806,fd947051,60,1,60
743,341,217806,fd2619,60,1,60
744,342,261581,fd1022249,114,1,114
745,342,261581,fd243092,160,1,160
746,343,305316,fd766373,165,1,165
747,343,305316,fd313527,86,1,86
748,344,59708,fd648517,329,1,329
749,345,226432,fd755234,245,1,245
750,346,428281,fd995390,218,1,218
751,346,428281,fd207446,106,1,106
752,347,226592,fd476410,92,1,92
753,347,226592,fd160138,90,1,90
754,347,226592,fd106371,131,1,131
755,347,226592,fd476410,92,1,92
756,348,4775,fd958183,132,1,132
757,348,4775,fd552874,257,1,257
758,349,279584,fd532901,51,1,51
759,349,279584,fd532901,51,2,102
760,349,279584,fd85709,83,1,83
761,349,279584,fd532901,51,1,51
762,350,40466,fd1038708,165,1,165
763,351,519196,fd920831,168,1,168
764,351,519196,fd361611,106,1,106
765,352,445791,fd654155,147,2,294
766,353,445158,fd726240,223,2,446
767,353,445158,fd677673,134,1,134
768,354,503183,fd558895,159,1,159
769,354,503183,fd870922,234,1,234
770,354,503183,fd260454,249,1,249
771,354,503183,fd485802,139,1,139
772,355,562198,fd76493,172,1,172
773,355,562198,fd508959,163,1,163
